Video Filename,Rater 1,Rater 2,Rater 3
little_helplessness/20250314-0249-08.2817649.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0251-36.0141578-ezgif.com-crop-video.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0254-35.4409406.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0256-17.8890007.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0257-54.5383226.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0301-02.8482362.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0302-46.2277701.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0306-19.3950833.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0315-37.3235263.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0320-39.9394271.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0321-33.6140030.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0323-59.8514051.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0333-23.3479413.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0334-37.8245687.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0344-49.2737280.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0348-57.7823684.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0405-55.5851728.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0408-22.1666508.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/20250314-0413-03.7812296.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/227-tired-ezgif.com-video-speed.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/66.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-11 at 1.32.24 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-11 at 10.13.55 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-11 at 10.21.51 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-11 at 10.36.09 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-11 at 9.21.05 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-11 at 9.22.31 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-11 at 9.39.00 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-11 at 9.40.10 PM.mov,little_helplessness,no-helpless,no-helpless
little_helplessness/Screen Recording 2025-03-12 at 1.29.39 PM.mov,little_helplessness,no-helpless,no-helpless
little_helplessness/Screen Recording 2025-03-12 at 1.31.55 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-12 at 1.33.35 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-12 at 1.38.25 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-12 at 1.41.28 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-12 at 1.49.18 PM.mov,little_helplessness,little_helplessness,no-helpless
little_helplessness/Screen Recording 2025-03-12 at 1.58.59 PM.mov,little_helplessness,no-helpless,no-helpless
little_helplessness/Screen Recording 2025-03-12 at 2.01.15 PM.mov,little_helplessness,little_helplessness,no-helpless
little_helplessness/Screen Recording 2025-03-12 at 2.08.36 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-12 at 2.11.31 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-12 at 2.21.35 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/Screen Recording 2025-03-12 at 2.28.41 PM.mov,little_helplessness,little_helplessness,little_helplessness
little_helplessness/ScreenRecording2025-03-12at2.16.50PM-ezgif.com-crop-video.mov,little_helplessness,little_helplessness,no-helpless
little_helplessness/Untitled.mov,little_helplessness,little_helplessness,no-helpless
little_helplessness/class-act-lamont-johnson-ezgif.com-video-speed.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/disappointed-annoyed-ezgif.com-video-cutter.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/fall-depressed-ezgif.com-gif-to-mp4-converter.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/feeling-down-bazzi-ezgif.com-video-cutter.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/fetish-fetish-the-film-ezgif.com-gif-to-mp4-converter.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/frustrated-kid-ezgif.com-gif-to-mp4-converter.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/greg-davies-desperate-ezgif.com-video-speed.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/hopeless-lee-sung-kyung-ezgif.com-crop-video.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/kevin07-krudd-ezgif.com-video-cutter.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/limbus-company-limbus-ezgif.com-crop-video.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/lyriq-bent-look-down-ezgif.com-video-speed.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/omg-crypto-ezgif.com-crop-video.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/sad-chiyaan-vikram-ezgif.com-crop-video.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/shaking-my-head-reece-harle-ezgif.com-crop-video.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/the-adventures-of-rocky-and-bullwinkle-karen-sympathy-ezgif.com-video-speed.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/the-chosen-jesus-ezgif.com-video-speed.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/tom-hiddleston-face-palm-ezgif.com-video-speed.mp4,little_helplessness,little_helplessness,little_helplessness
little_helplessness/worried-concerned-ezgif.com-crop-video.mp4,extreme-helpless,little_helplessness,little_helplessness
no-helpless/20250314-0414-29.2756982.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0415-40.4736956.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0422-35.7124275.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0424-22.0991636.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0426-41.5786814.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0428-25.2321447.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0430-38.8637121.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0431-57.0213925.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0433-19.3933464.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0435-29.2405549.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0436-22.0618053.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0437-14.0381163-ezgif.com-video-cutter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0444-31.2536715-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0446-32.1687253.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0450-21.6339710.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0451-40.3805879.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0453-08.0600398.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0454-10.9115768.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0458-07.9437892.mp4,no-helpless,no-helpless,no-helpless
no-helpless/20250314-0500-03.9406355.mp4,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.00.23 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.01.10 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.02.18 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.03.41 PM.mov,no-helpless,no-helpless,little_helplessness
no-helpless/Screen Recording 2025-03-17 at 1.05.51 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.06.54 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.08.32 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.09.15 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.11.14 PM.mov,no-helpless,no-helpless,little_helplessness
no-helpless/Screen Recording 2025-03-17 at 1.12.49 PM.mov,no-helpless,little_helplessness,extreme-helpless
no-helpless/Screen Recording 2025-03-17 at 1.14.26 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.16.06 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.17.26 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.18.31 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.19.45 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.21.08 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.22.04 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.22.44 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.23.29 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.24.41 PM.mov,no-helpless,no-helpless,no-helpless
no-helpless/Screen Recording 2025-03-17 at 1.25.57 PM.mov,no-helpless,no-helpless,little_helplessness
no-helpless/Screen Recording 2025-03-17 at 1.26.55 PM.mov,no-helpless,little_helplessness,no-helpless
no-helpless/Untitled video - Made with Clipchamp (5).mp4,no-helpless,no-helpless,no-helpless
no-helpless/andteam-andteam-ej-ezgif.com-gif-to-mp4-converter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/andteam-andteam-taki-ezgif.com-video-speed.mp4,no-helpless,no-helpless,no-helpless
no-helpless/anthony-mackie-blank-stare-ezgif.com-video-cutter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/awkward-smile-ezgif.com-video-cutter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/bored-sigh-ezgif.com-video-cutter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/cesar-lobo-andrea-nisler-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/face-xlson137-ezgif.com-video-speed.mp4,no-helpless,no-helpless,no-helpless
no-helpless/grin-benedict-cumberbatch-ezgif.com-gif-to-mp4-converter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/im-just-a-normal-guy-chris-cantada-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/just-act-normal-chloe-bennet-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/koavminaj-koav-ezgif.com-video-cutter.mp4,no-helpless,no-helpless,little_helplessness
no-helpless/lisa-blankpink-ezgif.com-gif-to-mp4-converter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/mr-bean-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/paapabutterfly-natalie-portman-ezgif.com-video-cutter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/parvati-survivor-parvati-idol-ezgif.com-video-cutter.mp4,no-helpless,no-helpless,no-helpless
no-helpless/pedro-pascal-smiling-ezgif.com-video-speed.mp4,no-helpless,no-helpless,no-helpless
no-helpless/raised-eyebrow-grinning-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/sinusubukang-hindi-tumawa-shyr-jane-balagtas-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/smiling-alexis-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/smiling-kanan-gill-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/v-v-bts-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
no-helpless/yeah-okay-don-ezgif.com-crop-video.mp4,no-helpless,no-helpless,no-helpless
